"","GeoCode","Boro_Location","GeoCodeLabel","PassengKilled","InJury_type","NofCases"
"413",61,"Brooklyn 61st Precinct","61st Precinct",0,"CyclistsInjured",10
"414",81,"Brooklyn 81st Precinct","81st Precinct",0,"CyclistsInjured",10
"415",109,"Queens 109th Precinct","109th Precinct",0,"CyclistsInjured",10
"416",1,"Manhattan 1st Precinct","1st Precinct",0,"PedestrInjured",10
"417",17,"Manhattan 17th Precinct","17th Precinct",0,"PedestrInjured",10
"418",43,"Bronx 43rd Precinct","43rd Precinct",0,"PedestrInjured",10
"419",71,"Brooklyn 71st Precinct","71st Precinct",0,"PedestrInjured",10
"420",72,"Brooklyn 72nd Precinct","72nd Precinct",0,"PedestrInjured",10
"421",90,"Brooklyn 90th Precinct","90th Precinct",0,"PedestrInjured",10
"422",107,"Queens 107th Precinct","107th Precinct",0,"PedestrInjured",10
"423",115,"Queens 115th Precinct","115th Precinct",0,"PedestrInjured",10
"424",14,"Manhattan Midtown South Precinct","Midtown South Precinct",0,"Bicycle",10
"425",23,"Manhattan 23rd Precinct","23rd Precinct",0,"Bicycle",10
"426",72,"Brooklyn 72nd Precinct","72nd Precinct",0,"Bicycle",10
"427",81,"Brooklyn 81st Precinct","81st Precinct",0,"Bicycle",10
"428",7,"Manhattan 7th Precinct","7th Precinct",0,"MotoristsInjured",9
"429",9,"Manhattan 9th Precinct","9th Precinct",0,"MotoristsInjured",9
"430",14,"Manhattan Midtown South Precinct","Midtown South Precinct",0,"MotoristsInjured",9
"431",84,"Brooklyn 84th Precinct","84th Precinct",0,"PassengInjured",9
"432",101,"Queens 101st Precinct","101st Precinct",0,"PassengInjured",9
"433",123,"S.Island 123rd Precinct","123rd Precinct",0,"PassengInjured",9
"434",14,"Manhattan Midtown South Precinct","Midtown South Precinct",0,"CyclistsInjured",9
"435",72,"Brooklyn 72nd Precinct","72nd Precinct",0,"CyclistsInjured",9
"436",77,"Brooklyn 77th Precinct","77th Precinct",0,"CyclistsInjured",9
"437",84,"Brooklyn 84th Precinct","84th Precinct",0,"CyclistsInjured",9
"438",5,"Manhattan 5th Precinct","5th Precinct",0,"PedestrInjured",9
"439",14,"Manhattan Midtown South Precinct","Midtown South Precinct",0,"PedestrInjured",9
"440",46,"Bronx 46th Precinct","46th Precinct",0,"PedestrInjured",9
"441",79,"Brooklyn 79th Precinct","79th Precinct",0,"PedestrInjured",9
"442",108,"Queens 108th Precinct","108th Precinct",0,"PedestrInjured",9
"443",112,"Queens 112th Precinct","112th Precinct",0,"PedestrInjured",9
"444",104,"Queens 104th Precinct","104th Precinct",0,"Bicycle",9
"445",109,"Queens 109th Precinct","109th Precinct",0,"Bicycle",9
"446",115,"Queens 115th Precinct","115th Precinct",0,"Bicycle",9
"447",32,"Manhattan 32nd Precinct","32nd Precinct",0,"MotoristsInjured",8
"448",7,"Manhattan 7th Precinct","7th Precinct",0,"PassengInjured",8
"449",30,"Manhattan 30th Precinct","30th Precinct",0,"PassengInjured",8
"450",68,"Brooklyn 68th Precinct","68th Precinct",0,"CyclistsInjured",8
